Date, Name, Value, ChangePer
11:15 AM EST 11/18/19, MSFT, 149.2747, -0.46%
11:15 AM EST 11/18/19, AMZN, 1744.4257, 0.28%
11:15 AM EST 11/18/19, GOOGL, 1318.72, -1.11%
11:17 AM EST 11/18/19, MSFT, 149.2776, -0.46%
11:16 AM EST 11/18/19, AMZN, 1744.6704, 0.30%
11:17 AM EST 11/18/19, GOOGL, 1318.9341, -1.10%
11:18 AM EST 11/18/19, MSFT, 149.285, -0.46%
11:18 AM EST 11/18/19, AMZN, 1744.40, 0.28%
11:18 AM EST 11/18/19, GOOGL, 1318.67, -1.12%
11:19 AM EST 11/18/19, MSFT, 149.2314, -0.49%
11:19 AM EST 11/18/19, AMZN, 1744.55, 0.29%
11:19 AM EST 11/18/19, GOOGL, 1318.67, -1.12%
11:20 AM EST 11/18/19, MSFT, 149.2653, -0.47%
11:20 AM EST 11/18/19, AMZN, 1744.575, 0.29%
11:20 AM EST 11/18/19, GOOGL, 1319.3625, -1.06%
11:21 AM EST 11/18/19, MSFT, 149.30, -0.45%
11:21 AM EST 11/18/19, AMZN, 1745.33, 0.34%
11:21 AM EST 11/18/19, GOOGL, 1320.00, -1.02%
11:22 AM EST 11/18/19, MSFT, 149.3317, -0.43%
11:22 AM EST 11/18/19, AMZN, 1746.25, 0.39%
11:22 AM EST 11/18/19, GOOGL, 1321.3075, -0.92%
11:23 AM EST 11/18/19, MSFT, 149.33, -0.43%
11:23 AM EST 11/18/19, AMZN, 1745.94, 0.37%
11:23 AM EST 11/18/19, GOOGL, 1321.44, -0.91%
11:25 AM EST 11/18/19, MSFT, 149.345, -0.42%
11:25 AM EST 11/18/19, AMZN, 1746.68, 0.41%
11:25 AM EST 11/18/19, GOOGL, 1322.39, -0.84%
11:26 AM EST 11/18/19, MSFT, 149.42, -0.37%
11:26 AM EST 11/18/19, AMZN, 1746.94, 0.43%
11:25 AM EST 11/18/19, GOOGL, 1323.38, -0.76%
11:27 AM EST 11/18/19, MSFT, 149.3475, -0.42%
11:27 AM EST 11/18/19, AMZN, 1746.2837, 0.39%
11:27 AM EST 11/18/19, GOOGL, 1324.00, -0.72%
11:28 AM EST 11/18/19, MSFT, 149.31, -0.44%
11:28 AM EST 11/18/19, AMZN, 1746.72, 0.42%
11:28 AM EST 11/18/19, GOOGL, 1324.585, -0.67%
11:29 AM EST 11/18/19, MSFT, 149.243, -0.48%
11:29 AM EST 11/18/19, AMZN, 1745.9821, 0.37%
11:29 AM EST 11/18/19, GOOGL, 1324.47, -0.68%
11:30 AM EST 11/18/19, MSFT, 149.25, -0.48%
11:30 AM EST 11/18/19, AMZN, 1746.99, 0.43%
11:30 AM EST 11/18/19, GOOGL, 1324.55, -0.67%
11:31 AM EST 11/18/19, MSFT, 149.21, -0.51%
11:31 AM EST 11/18/19, AMZN, 1747.41, 0.46%
11:31 AM EST 11/18/19, GOOGL, 1324.59, -0.67%
11:32 AM EST 11/18/19, MSFT, 149.235, -0.49%
11:32 AM EST 11/18/19, AMZN, 1746.55, 0.41%
11:32 AM EST 11/18/19, GOOGL, 1324.71, -0.66%
11:34 AM EST 11/18/19, MSFT, 149.305, -0.44%
11:34 AM EST 11/18/19, AMZN, 1747.14, 0.44%
11:34 AM EST 11/18/19, GOOGL, 1324.90, -0.65%
11:35 AM EST 11/18/19, MSFT, 149.41, -0.37%
11:34 AM EST 11/18/19, AMZN, 1747.04, 0.43%
11:34 AM EST 11/18/19, GOOGL, 1324.90, -0.65%
11:36 AM EST 11/18/19, MSFT, 149.4684, -0.33%
11:36 AM EST 11/18/19, AMZN, 1748.5116, 0.52%
11:36 AM EST 11/18/19, GOOGL, 1325.655, -0.59%
11:37 AM EST 11/18/19, MSFT, 149.52, -0.30%
11:37 AM EST 11/18/19, AMZN, 1748.09, 0.49%
11:37 AM EST 11/18/19, GOOGL, 1325.105, -0.63%
11:38 AM EST 11/18/19, MSFT, 149.475, -0.33%
11:38 AM EST 11/18/19, AMZN, 1748.59, 0.52%
11:38 AM EST 11/18/19, GOOGL, 1324.898, -0.65%
11:39 AM EST 11/18/19, MSFT, 149.50, -0.31%
11:39 AM EST 11/18/19, AMZN, 1749.24, 0.56%
11:39 AM EST 11/18/19, GOOGL, 1325.651, -0.59%
11:40 AM EST 11/18/19, MSFT, 149.5312, -0.29%
11:40 AM EST 11/18/19, AMZN, 1749.34, 0.57%
11:39 AM EST 11/18/19, GOOGL, 1325.651, -0.59%
11:42 AM EST 11/18/19, MSFT, 149.55, -0.28%
11:41 AM EST 11/18/19, AMZN, 1749.10, 0.55%
11:41 AM EST 11/18/19, GOOGL, 1326.14, -0.55%
11:43 AM EST 11/18/19, MSFT, 149.5675, -0.27%
11:42 AM EST 11/18/19, AMZN, 1748.59, 0.52%
11:42 AM EST 11/18/19, GOOGL, 1325.58, -0.60%
11:44 AM EST 11/18/19, MSFT, 149.595, -0.25%
11:44 AM EST 11/18/19, AMZN, 1748.16, 0.50%
11:44 AM EST 11/18/19, GOOGL, 1323.80, -0.73%
11:45 AM EST 11/18/19, MSFT, 149.665, -0.20%
11:45 AM EST 11/18/19, AMZN, 1748.3284, 0.51%
11:45 AM EST 11/18/19, GOOGL, 1323.26, -0.77%
11:46 AM EST 11/18/19, MSFT, 149.60, -0.25%
11:46 AM EST 11/18/19, AMZN, 1746.885, 0.43%
11:45 AM EST 11/18/19, GOOGL, 1322.96, -0.79%
11:47 AM EST 11/18/19, MSFT, 149.665, -0.20%
11:47 AM EST 11/18/19, AMZN, 1746.99, 0.43%
11:47 AM EST 11/18/19, GOOGL, 1323.7904, -0.73%
11:48 AM EST 11/18/19, MSFT, 149.79, -0.12%
11:48 AM EST 11/18/19, AMZN, 1747.00, 0.43%
11:48 AM EST 11/18/19, GOOGL, 1324.28, -0.69%
11:49 AM EST 11/18/19, MSFT, 149.7674, -0.14%
11:49 AM EST 11/18/19, AMZN, 1746.609, 0.41%
11:49 AM EST 11/18/19, GOOGL, 1324.28, -0.69%
11:51 AM EST 11/18/19, MSFT, 149.775, -0.13%
11:50 AM EST 11/18/19, AMZN, 1746.29, 0.39%
11:49 AM EST 11/18/19, GOOGL, 1324.28, -0.69%
11:52 AM EST 11/18/19, MSFT, 149.81, -0.11%
11:52 AM EST 11/18/19, AMZN, 1746.32, 0.39%
11:51 AM EST 11/18/19, GOOGL, 1324.18, -0.70%
11:53 AM EST 11/18/19, MSFT, 149.81, -0.11%
11:53 AM EST 11/18/19, AMZN, 1745.47, 0.34%
11:53 AM EST 11/18/19, GOOGL, 1323.37, -0.76%
11:54 AM EST 11/18/19, MSFT, 149.8073, -0.11%
11:54 AM EST 11/18/19, AMZN, 1746.055, 0.38%
11:54 AM EST 11/18/19, GOOGL, 1324.16, -0.70%
11:55 AM EST 11/18/19, MSFT, 149.81, -0.11%
11:55 AM EST 11/18/19, AMZN, 1745.745, 0.36%
11:55 AM EST 11/18/19, GOOGL, 1324.60, -0.67%
11:56 AM EST 11/18/19, MSFT, 149.82, -0.10%
11:56 AM EST 11/18/19, AMZN, 1745.30, 0.33%
11:56 AM EST 11/18/19, GOOGL, 1324.63, -0.67%
11:57 AM EST 11/18/19, MSFT, 149.82, -0.10%
11:57 AM EST 11/18/19, AMZN, 1745.221, 0.33%
11:57 AM EST 11/18/19, GOOGL, 1323.39, -0.76%
11:59 AM EST 11/18/19, MSFT, 149.8301, -0.09%
11:59 AM EST 11/18/19, AMZN, 1745.23, 0.33%
11:58 AM EST 11/18/19, GOOGL, 1323.58, -0.75%
12:00 PM EST 11/18/19, MSFT, 149.86, -0.07%
11:59 AM EST 11/18/19, AMZN, 1745.23, 0.33%
11:59 AM EST 11/18/19, GOOGL, 1322.99, -0.79%
12:01 PM EST 11/18/19, MSFT, 149.825, -0.10%
12:01 PM EST 11/18/19, AMZN, 1744.58, 0.29%
12:01 PM EST 11/18/19, GOOGL, 1322.3165, -0.84%
12:02 PM EST 11/18/19, MSFT, 149.865, -0.07%
12:02 PM EST 11/18/19, AMZN, 1744.4912, 0.29%
12:01 PM EST 11/18/19, GOOGL, 1322.3165, -0.84%
12:03 PM EST 11/18/19, MSFT, 149.905, -0.04%
12:03 PM EST 11/18/19, AMZN, 1744.69, 0.30%
12:03 PM EST 11/18/19, GOOGL, 1322.40, -0.84%
12:04 PM EST 11/18/19, MSFT, 149.9261, -0.03%
12:04 PM EST 11/18/19, AMZN, 1744.51, 0.29%
12:04 PM EST 11/18/19, GOOGL, 1322.42, -0.83%
12:05 PM EST 11/18/19, MSFT, 149.89, -0.05%
12:05 PM EST 11/18/19, AMZN, 1743.53, 0.23%
12:05 PM EST 11/18/19, GOOGL, 1322.28, -0.84%
12:07 PM EST 11/18/19, MSFT, 149.97, 0.00%
12:07 PM EST 11/18/19, AMZN, 1744.1121, 0.27%
12:07 PM EST 11/18/19, GOOGL, 1322.17, -0.85%
12:07 PM EST 11/18/19, MSFT, 150.005, 0.02%
12:08 PM EST 11/18/19, AMZN, 1743.9725, 0.26%
12:08 PM EST 11/18/19, GOOGL, 1322.765, -0.81%
12:09 PM EST 11/18/19, MSFT, 149.945, -0.02%
12:09 PM EST 11/18/19, AMZN, 1743.615, 0.24%
12:08 PM EST 11/18/19, GOOGL, 1322.49, -0.83%
12:10 PM EST 11/18/19, MSFT, 149.97, 0.00%
12:10 PM EST 11/18/19, AMZN, 1743.5637, 0.23%
12:10 PM EST 11/18/19, GOOGL, 1322.53, -0.83%
12:11 PM EST 11/18/19, MSFT, 149.94, -0.02%
12:11 PM EST 11/18/19, AMZN, 1744.98, 0.32%
12:10 PM EST 11/18/19, GOOGL, 1322.53, -0.83%
12:12 PM EST 11/18/19, MSFT, 149.85, -0.08%
12:12 PM EST 11/18/19, AMZN, 1744.80, 0.31%
12:12 PM EST 11/18/19, GOOGL, 1321.56, -0.90%
12:13 PM EST 11/18/19, MSFT, 149.84, -0.09%
12:13 PM EST 11/18/19, AMZN, 1745.77, 0.36%
12:13 PM EST 11/18/19, GOOGL, 1322.01, -0.86%
12:15 PM EST 11/18/19, MSFT, 149.85, -0.08%
12:14 PM EST 11/18/19, AMZN, 1746.24, 0.39%
12:14 PM EST 11/18/19, GOOGL, 1321.80, -0.88%
12:16 PM EST 11/18/19, MSFT, 149.8678, -0.07%
12:16 PM EST 11/18/19, AMZN, 1745.815, 0.36%
12:16 PM EST 11/18/19, GOOGL, 1321.7103, -0.89%
12:17 PM EST 11/18/19, MSFT, 149.82, -0.10%
12:17 PM EST 11/18/19, AMZN, 1744.69, 0.30%
12:16 PM EST 11/18/19, GOOGL, 1321.11, -0.93%
12:18 PM EST 11/18/19, MSFT, 149.84, -0.09%
12:18 PM EST 11/18/19, AMZN, 1744.86, 0.31%
12:16 PM EST 11/18/19, GOOGL, 1321.11, -0.93%
12:19 PM EST 11/18/19, MSFT, 149.85, -0.08%
12:19 PM EST 11/18/19, AMZN, 1744.95, 0.31%
12:19 PM EST 11/18/19, GOOGL, 1321.09, -0.93%
12:20 PM EST 11/18/19, MSFT, 149.87, -0.07%
12:20 PM EST 11/18/19, AMZN, 1744.59, 0.29%
12:20 PM EST 11/18/19, GOOGL, 1321.506, -0.90%
12:21 PM EST 11/18/19, MSFT, 149.88, -0.06%
12:21 PM EST 11/18/19, AMZN, 1744.3839, 0.28%
12:20 PM EST 11/18/19, GOOGL, 1321.506, -0.90%
